delivery_id,origin,destination,distance_km,delivery_time_hours,vehicle_type,cargo_weight_kg
DEL00000,Unknown,Unknown,0,0,Truck,0
DEL00001,Unknown,Unknown,0,0,Truck,0
DEL00002,Unknown,Unknown,0,0,Truck,0
DEL00003,Unknown,Unknown,0,0,Truck,0
DEL00004,Unknown,Unknown,0,0,Truck,0
DEL00005,Unknown,Unknown,0,0,Truck,0
DEL00006,Unknown,Unknown,0,0,Truck,0
DEL00007,Unknown,Unknown,0,0,Truck,0
DEL00008,Unknown,Unknown,0,0,Truck,0
DEL00009,Unknown,Unknown,0,0,Truck,0
DEL00010,Unknown,Unknown,0,0,Truck,0
DEL00011,Unknown,Unknown,0,0,Truck,0
DEL00012,Unknown,Unknown,0,0,Truck,0
DEL00013,Unknown,Unknown,0,0,Truck,0
DEL00014,Unknown,Unknown,0,0,Truck,0
DEL00015,Unknown,Unknown,0,0,Truck,0
DEL00016,Unknown,Unknown,0,0,Truck,0
DEL00017,Unknown,Unknown,0,0,Truck,0
DEL00018,Unknown,Unknown,0,0,Truck,0
DEL00019,Unknown,Unknown,0,0,Truck,0
DEL00020,Unknown,Unknown,0,0,Truck,0
DEL00021,Unknown,Unknown,0,0,Truck,0
DEL00022,Unknown,Unknown,0,0,Truck,0
DEL00023,Unknown,Unknown,0,0,Truck,0
DEL00024,Unknown,Unknown,0,0,Truck,0
DEL00025,Unknown,Unknown,0,0,Truck,0
DEL00026,Unknown,Unknown,0,0,Truck,0
DEL00027,Unknown,Unknown,0,0,Truck,0
DEL00028,Unknown,Unknown,0,0,Truck,0
DEL00029,Unknown,Unknown,0,0,Truck,0
DEL00030,Unknown,Unknown,0,0,Truck,0
DEL00031,Unknown,Unknown,0,0,Truck,0
DEL00032,Unknown,Unknown,0,0,Truck,0
DEL00033,Unknown,Unknown,0,0,Truck,0
DEL00034,Unknown,Unknown,0,0,Truck,0
DEL00035,Unknown,Unknown,0,0,Truck,0
DEL00036,Unknown,Unknown,0,0,Truck,0
DEL00037,Unknown,Unknown,0,0,Truck,0
DEL00038,Unknown,Unknown,0,0,Truck,0
DEL00039,Unknown,Unknown,0,0,Truck,0
DEL00040,Unknown,Unknown,0,0,Truck,0
DEL00041,Unknown,Unknown,0,0,Truck,0
DEL00042,Unknown,Unknown,0,0,Truck,0
DEL00043,Unknown,Unknown,0,0,Truck,0
DEL00044,Unknown,Unknown,0,0,Truck,0
DEL00045,Unknown,Unknown,0,0,Truck,0
DEL00046,Unknown,Unknown,0,0,Truck,0
DEL00047,Unknown,Unknown,0,0,Truck,0
DEL00048,Unknown,Unknown,0,0,Truck,0
DEL00049,Unknown,Unknown,0,0,Truck,0
DEL00050,Unknown,Unknown,0,0,Truck,0
DEL00051,Unknown,Unknown,0,0,Truck,0
DEL00052,Unknown,Unknown,0,0,Truck,0
DEL00053,Unknown,Unknown,0,0,Truck,0
DEL00054,Unknown,Unknown,0,0,Truck,0
DEL00055,Unknown,Unknown,0,0,Truck,0
DEL00056,Unknown,Unknown,0,0,Truck,0
DEL00057,Unknown,Unknown,0,0,Truck,0
DEL00058,Unknown,Unknown,0,0,Truck,0
DEL00059,Unknown,Unknown,0,0,Truck,0
DEL00060,Unknown,Unknown,0,0,Truck,0
DEL00061,Unknown,Unknown,0,0,Truck,0
DEL00062,Unknown,Unknown,0,0,Truck,0
DEL00063,Unknown,Unknown,0,0,Truck,0
DEL00064,Unknown,Unknown,0,0,Truck,0
DEL00065,Unknown,Unknown,0,0,Truck,0
DEL00066,Unknown,Unknown,0,0,Truck,0
DEL00067,Unknown,Unknown,0,0,Truck,0
DEL00068,Unknown,Unknown,0,0,Truck,0
DEL00069,Unknown,Unknown,0,0,Truck,0
DEL00070,Unknown,Unknown,0,0,Truck,0
DEL00071,Unknown,Unknown,0,0,Truck,0
DEL00072,Unknown,Unknown,0,0,Truck,0
DEL00073,Unknown,Unknown,0,0,Truck,0
DEL00074,Unknown,Unknown,0,0,Truck,0
DEL00075,Unknown,Unknown,0,0,Truck,0
DEL00076,Unknown,Unknown,0,0,Truck,0
DEL00077,Unknown,Unknown,0,0,Truck,0
DEL00078,Unknown,Unknown,0,0,Truck,0
DEL00079,Unknown,Unknown,0,0,Truck,0
DEL00080,Unknown,Unknown,0,0,Truck,0
DEL00081,Unknown,Unknown,0,0,Truck,0
DEL00082,Unknown,Unknown,0,0,Truck,0
DEL00083,Unknown,Unknown,0,0,Truck,0
DEL00084,Unknown,Unknown,0,0,Truck,0
DEL00085,Unknown,Unknown,0,0,Truck,0
DEL00086,Unknown,Unknown,0,0,Truck,0
DEL00087,Unknown,Unknown,0,0,Truck,0
DEL00088,Unknown,Unknown,0,0,Truck,0
DEL00089,Unknown,Unknown,0,0,Truck,0
DEL00090,Unknown,Unknown,0,0,Truck,0
DEL00091,Unknown,Unknown,0,0,Truck,0
DEL00092,Unknown,Unknown,0,0,Truck,0
DEL00093,Unknown,Unknown,0,0,Truck,0
DEL00094,Unknown,Unknown,0,0,Truck,0
DEL00095,Unknown,Unknown,0,0,Truck,0
DEL00096,Unknown,Unknown,0,0,Truck,0
DEL00097,Unknown,Unknown,0,0,Truck,0
DEL00098,Unknown,Unknown,0,0,Truck,0
DEL00099,Unknown,Unknown,0,0,Truck,0
DEL00100,Unknown,Unknown,0,0,Truck,0
DEL00101,Unknown,Unknown,0,0,Truck,0
DEL00102,Unknown,Unknown,0,0,Truck,0
DEL00103,Unknown,Unknown,0,0,Truck,0
DEL00104,Unknown,Unknown,0,0,Truck,0
DEL00105,Unknown,Unknown,0,0,Truck,0
DEL00106,Unknown,Unknown,0,0,Truck,0
DEL00107,Unknown,Unknown,0,0,Truck,0
DEL00108,Unknown,Unknown,0,0,Truck,0
DEL00109,Unknown,Unknown,0,0,Truck,0
DEL00110,Unknown,Unknown,0,0,Truck,0
DEL00111,Unknown,Unknown,0,0,Truck,0
DEL00112,Unknown,Unknown,0,0,Truck,0
DEL00113,Unknown,Unknown,0,0,Truck,0
DEL00114,Unknown,Unknown,0,0,Truck,0
DEL00115,Unknown,Unknown,0,0,Truck,0
DEL00116,Unknown,Unknown,0,0,Truck,0
DEL00117,Unknown,Unknown,0,0,Truck,0
DEL00118,Unknown,Unknown,0,0,Truck,0
DEL00119,Unknown,Unknown,0,0,Truck,0
DEL00120,Unknown,Unknown,0,0,Truck,0
DEL00121,Unknown,Unknown,0,0,Truck,0
DEL00122,Unknown,Unknown,0,0,Truck,0
DEL00123,Unknown,Unknown,0,0,Truck,0
DEL00124,Unknown,Unknown,0,0,Truck,0
DEL00125,Unknown,Unknown,0,0,Truck,0
DEL00126,Unknown,Unknown,0,0,Truck,0
DEL00127,Unknown,Unknown,0,0,Truck,0
DEL00128,Unknown,Unknown,0,0,Truck,0
