date,food_demand_kg,water_demand_liters,medicine_demand_units,shelter_demand_units
2020-01-01,7717,7201,589,432
2020-01-02,4013,8799,381,410
2020-01-03,8148,19584,328,309
2020-01-04,2703,19244,683,219
2020-01-05,2046,11188,510,412
2020-01-06,9327,19646,497,283
2020-01-07,7386,19824,275,200
2020-01-08,6205,8052,158,85
2020-01-09,4042,19563,518,360
2020-01-10,1961,18994,192,466
2020-01-11,9144,17335,652,317
2020-01-12,6913,15116,736,465
2020-01-13,2874,16307,553,168
2020-01-14,4992,18587,371,452
2020-01-15,4803,14467,637,57
2020-01-16,5440,10477,924,93
2020-01-17,2117,6513,875,402
2020-01-18,5786,5977,722,402
2020-01-19,2087,11409,225,190
2020-01-20,8111,13905,371,215
2020-01-21,7993,18402,635,443
2020-01-22,5212,7150,904,161
2020-01-23,4650,5914,289,439
2020-01-24,4188,18787,251,365
2020-01-25,8552,10180,670,80
2020-01-26,8418,13224,968,215
2020-01-27,3981,5508,887,361
2020-01-28,7725,13401,793,113
2020-01-29,1018,16282,587,248
2020-01-30,1920,19206,509,223
2020-01-31,2067,9086,585,475
2020-02-01,5477,9288,743,175
2020-02-02,7559,17176,284,232
2020-02-03,4535,2063,215,460
2020-02-04,7964,10488,153,418
2020-02-05,1187,7676,225,55
2020-02-06,2049,4394,668,459
2020-02-07,7938,9510,598,352
2020-02-08,4330,6014,660,461
2020-02-09,5747,17710,833,452
2020-02-10,3762,2442,244,255
2020-02-11,1832,10532,868,449
2020-02-12,4890,4472,632,200
2020-02-13,3895,4771,349,240
2020-02-14,3796,13851,873,325
2020-02-15,1745,17239,697,98
2020-02-16,2527,8563,231,397
2020-02-17,8552,17332,457,364
2020-02-18,7212,10659,137,59
2020-02-19,1480,11041,498,253
2020-02-20,6813,5980,325,188
2020-02-21,7970,15848,902,330
2020-02-22,4321,5413,696,290
2020-02-23,2913,13244,347,103
2020-02-24,1433,14597,154,74
2020-02-25,2681,18933,271,194
2020-02-26,2448,6190,351,191
2020-02-27,5015,19196,882,245
2020-02-28,5245,8325,593,325
2020-02-29,1990,8513,501,480
2020-03-01,3641,11121,985,59
2020-03-02,1259,15400,455,416
2020-03-03,4775,11313,919,232
2020-03-04,2931,5855,983,69
2020-03-05,2686,4388,345,373
2020-03-06,4889,17192,342,381
2020-03-07,5189,4844,458,189
2020-03-08,7542,13754,205,285
2020-03-09,8830,4889,205,237
2020-03-10,1190,15495,814,295
2020-03-11,4196,18812,581,466
2020-03-12,6685,13561,729,53
2020-03-13,4202,2645,887,217
2020-03-14,9880,15583,302,132
2020-03-15,6496,7234,908,459
2020-03-16,9129,2014,120,481
2020-03-17,9141,18096,623,415
2020-03-18,5609,6066,586,394
2020-03-19,9767,13417,436,264
2020-03-20,4922,5657,942,350
2020-03-21,8580,14738,704,166
2020-03-22,7612,17435,614,57
2020-03-23,7530,18751,726,193
2020-03-24,8492,16574,873,483
2020-03-25,8583,2157,377,60
2020-03-26,1737,9417,660,438
2020-03-27,2677,17019,259,342
2020-03-28,1172,7779,329,485
2020-03-29,7007,19736,329,130
2020-03-30,1203,17019,881,168
2020-03-31,3747,17397,664,406
2020-04-01,9977,19489,433,449
2020-04-02,7755,11926,732,296
2020-04-03,4577,2399,616,272
2020-04-04,9751,4945,563,316
2020-04-05,7587,4597,431,444
2020-04-06,1419,12710,565,153
2020-04-07,2352,2203,590,489
2020-04-08,4361,9463,383,464
2020-04-09,8005,7842,949,172
2020-04-10,9914,2417,465,467
2020-04-11,8487,15082,782,206
2020-04-12,5304,18606,824,486
2020-04-13,2270,13306,962,171
2020-04-14,2572,9037,485,212
2020-04-15,5182,9370,388,313
2020-04-16,3528,9657,581,487
2020-04-17,1874,7777,908,285
2020-04-18,6130,7236,318,301
2020-04-19,4278,7205,819,364
2020-04-20,6776,19345,618,420
2020-04-21,9662,11622,805,191
2020-04-22,7210,12655,137,153
2020-04-23,9285,14807,520,287
2020-04-24,7435,6927,263,290
2020-04-25,1217,8602,988,133
2020-04-26,3358,4539,453,82
2020-04-27,1173,18867,833,198
2020-04-28,4222,11780,672,146
2020-04-29,2310,7441,101,144
2020-04-30,3602,15351,858,55
2020-05-01,6323,19001,227,205
2020-05-02,3142,6906,192,51
2020-05-03,8694,12885,371,229
2020-05-04,5624,2062,420,53
2020-05-05,7168,11639,672,433
2020-05-06,4028,12710,948,104
2020-05-07,7233,3428,910,323
2020-05-08,9092,7912,963,269
2020-05-09,1951,6454,532,213
2020-05-10,1369,15299,846,182
2020-05-11,1536,2528,665,162
2020-05-12,2828,17101,610,381
2020-05-13,2895,18219,238,295
2020-05-14,8985,4590,273,141
2020-05-15,6108,13619,237,53
2020-05-16,4075,5820,414,449
2020-05-17,9421,6023,284,325
2020-05-18,7491,15384,876,128
2020-05-19,1973,18510,419,164
2020-05-20,7403,2089,726,172
2020-05-21,9694,10152,602,213
2020-05-22,8735,10668,887,314
2020-05-23,4989,14940,256,216
2020-05-24,9851,4812,203,173
2020-05-25,9333,9760,927,157
2020-05-26,6493,17816,809,315
2020-05-27,8247,18107,596,135
2020-05-28,1289,11896,413,70
2020-05-29,9777,19878,238,226
2020-05-30,5481,18730,714,497
2020-05-31,8059,16287,272,351
2020-06-01,3970,8175,684,84
2020-06-02,1790,10131,817,188
2020-06-03,9162,17288,189,171
2020-06-04,6123,12772,897,319
2020-06-05,2974,11367,598,206
2020-06-06,3659,14633,787,344
2020-06-07,3432,11236,708,376
2020-06-08,7398,14728,329,499
2020-06-09,2279,15659,561,254
2020-06-10,5388,14544,127,212
2020-06-11,8245,8271,164,189
2020-06-12,3199,17986,361,175
2020-06-13,8674,8999,608,98
2020-06-14,1879,5591,514,442
2020-06-15,8145,13111,316,241
2020-06-16,4716,3169,763,189
2020-06-17,8368,7071,890,476
2020-06-18,4245,13399,880,386
2020-06-19,3472,8114,504,484
2020-06-20,6131,10301,762,476
2020-06-21,3846,6254,805,439
2020-06-22,8093,7493,806,279
2020-06-23,2098,8946,769,192
2020-06-24,9171,16839,728,93
2020-06-25,9309,4668,582,340
2020-06-26,3368,17694,460,362
2020-06-27,3369,18978,384,264
2020-06-28,7812,8784,251,456
2020-06-29,2095,2650,846,387
2020-06-30,3244,9303,643,478
2020-07-01,5288,18740,499,289
2020-07-02,9877,7999,560,128
2020-07-03,7053,8878,291,95
2020-07-04,4113,8489,683,397
2020-07-05,2082,12719,659,449
2020-07-06,4370,11009,282,88
2020-07-07,5879,4945,904,303
2020-07-08,7294,14244,317,72
2020-07-09,6888,16270,908,417
2020-07-10,6951,11165,434,209
2020-07-11,7727,12730,386,209
2020-07-12,3817,3202,742,424
2020-07-13,4077,12923,628,499
2020-07-14,6196,11384,886,150
2020-07-15,3027,4621,751,226
2020-07-16,3152,5694,841,365
2020-07-17,5078,10126,710,251
2020-07-18,9681,11902,823,350
2020-07-19,7641,6072,610,372
2020-07-20,7892,14497,435,143
2020-07-21,6340,9827,339,270
2020-07-22,3660,5511,275,123
2020-07-23,1341,3638,346,96
2020-07-24,5095,2753,572,408
2020-07-25,6587,17325,559,320
2020-07-26,1620,17308,109,204
2020-07-27,9026,2683,327,290
2020-07-28,8966,11102,246,136
2020-07-29,6056,17644,765,128
2020-07-30,2284,16863,686,355
2020-07-31,1170,19630,522,467
2020-08-01,2302,7924,282,221
2020-08-02,8846,17170,422,437
2020-08-03,9610,8508,640,401
2020-08-04,7271,17104,900,193
2020-08-05,3075,12329,482,250
2020-08-06,6910,8761,424,116
2020-08-07,9622,14248,128,368
2020-08-08,4675,7575,465,76
2020-08-09,8589,11229,762,192
2020-08-10,1358,7515,342,215
2020-08-11,8424,11015,485,95
2020-08-12,3829,7379,129,55
2020-08-13,1652,17159,489,60
2020-08-14,4518,18941,370,178
2020-08-15,7411,3341,988,200
2020-08-16,6907,4572,134,451
2020-08-17,7879,7567,230,166
2020-08-18,9160,17422,914,311
2020-08-19,7874,19696,930,237
2020-08-20,1562,13788,861,389
2020-08-21,8010,4709,350,83
2020-08-22,7292,16784,330,256
2020-08-23,1413,6865,566,109
2020-08-24,4043,14590,949,277
2020-08-25,1183,17693,586,50
2020-08-26,5752,9109,776,408
2020-08-27,8938,10981,153,410
2020-08-28,8354,18818,278,196
2020-08-29,8672,10674,805,185
2020-08-30,3320,2687,216,159
2020-08-31,6945,3929,555,229
2020-09-01,6150,3645,720,459
2020-09-02,5679,12733,761,266
2020-09-03,7996,16077,611,353
2020-09-04,6979,18900,496,358
2020-09-05,9226,11802,622,393
2020-09-06,7457,18339,307,451
2020-09-07,9651,12649,542,206
2020-09-08,9775,12108,712,170
2020-09-09,4544,8066,202,488
2020-09-10,3954,5520,589,407
2020-09-11,3887,5191,440,158
2020-09-12,6878,11117,180,483
2020-09-13,6195,3513,360,136
2020-09-14,5940,15561,572,372
2020-09-15,1136,19920,410,114
2020-09-16,8540,14586,428,141
2020-09-17,6155,19638,683,404
2020-09-18,7524,17495,738,151
2020-09-19,7773,7080,679,149
2020-09-20,6040,16282,595,348
2020-09-21,5503,5714,896,345
2020-09-22,6746,10937,892,117
2020-09-23,3242,18515,410,187
2020-09-24,3912,16737,885,428
2020-09-25,8080,15898,813,292
2020-09-26,6098,19191,417,90
2020-09-27,7639,12847,481,422
2020-09-28,1693,6843,183,426
2020-09-29,7745,2217,627,439
2020-09-30,9879,2735,783,235
2020-10-01,9001,14194,813,497
2020-10-02,2433,15395,404,88
2020-10-03,5055,12610,767,62
2020-10-04,8833,16107,404,347
2020-10-05,1898,12023,726,271
2020-10-06,9022,7560,591,198
2020-10-07,4376,14092,411,454
2020-10-08,7499,4261,511,240
2020-10-09,8504,19322,737,222
2020-10-10,5540,19645,822,157
2020-10-11,2857,8629,674,472
2020-10-12,3978,14255,840,449
2020-10-13,8045,11007,691,291
2020-10-14,5538,5159,345,102
2020-10-15,1806,7657,698,94
2020-10-16,7721,4495,926,85
2020-10-17,3288,16565,714,372
2020-10-18,1821,2946,967,179
2020-10-19,9321,8820,741,373
2020-10-20,7595,12969,965,406
2020-10-21,9231,10418,794,478
2020-10-22,6028,4793,834,117
2020-10-23,3648,12095,574,152
2020-10-24,9256,9815,131,90
2020-10-25,3432,15765,934,266
2020-10-26,6950,12885,956,280
2020-10-27,5578,8356,696,446
2020-10-28,9041,16744,320,256
2020-10-29,1374,5570,534,311
2020-10-30,8541,17731,529,411
2020-10-31,4950,5609,875,299
2020-11-01,4187,11766,372,282
2020-11-02,3286,11368,343,484
2020-11-03,9625,17060,239,253
2020-11-04,4015,19362,567,318
2020-11-05,8597,18772,620,330
2020-11-06,6970,9547,166,118
2020-11-07,1978,2859,974,338
2020-11-08,2404,16037,366,129
2020-11-09,7578,7534,850,177
2020-11-10,5924,11332,657,473
2020-11-11,7572,11344,950,237
2020-11-12,5054,13184,462,377
2020-11-13,3270,12268,142,322
2020-11-14,9943,17209,590,125
2020-11-15,8248,10102,226,420
2020-11-16,4802,18794,173,295
2020-11-17,9545,13803,953,72
2020-11-18,5382,12317,132,157
2020-11-19,8149,2836,127,153
2020-11-20,2677,11569,644,365
2020-11-21,1477,16320,158,60
2020-11-22,5367,8399,732,248
2020-11-23,3655,2414,650,322
2020-11-24,9701,2309,894,411
2020-11-25,1523,18657,804,96
2020-11-26,4818,12911,861,426
2020-11-27,1312,14930,657,259
2020-11-28,6180,8066,224,317
2020-11-29,1932,10031,503,418
2020-11-30,9766,8280,459,118
2020-12-01,2102,16277,706,363
2020-12-02,9265,9485,172,445
2020-12-03,4000,12454,887,205
2020-12-04,2784,18978,661,349
2020-12-05,6956,14524,485,381
2020-12-06,9296,15259,560,317
2020-12-07,9600,11883,538,389
2020-12-08,1146,2582,511,468
2020-12-09,6326,11642,265,186
2020-12-10,8306,2422,334,217
2020-12-11,4098,3044,266,405
2020-12-12,3027,14474,440,267
2020-12-13,2102,5345,716,248
2020-12-14,4382,12008,504,427
2020-12-15,9194,2702,183,338
2020-12-16,5449,13555,820,300
2020-12-17,8476,14672,245,356
2020-12-18,3705,10186,427,344
2020-12-19,4374,11861,194,188
2020-12-20,8294,16583,211,262
2020-12-21,7647,10044,644,384
2020-12-22,1211,19282,928,390
2020-12-23,7412,8892,478,231
2020-12-24,8130,12960,770,497
2020-12-25,3456,12705,973,433
2020-12-26,1619,19444,246,115
2020-12-27,1902,5088,525,357
2020-12-28,4787,6077,375,248
2020-12-29,9192,8755,932,153
2020-12-30,6726,6395,957,332
2020-12-31,4197,18067,464,441
2021-01-01,4457,11588,834,236
2021-01-02,7687,4238,668,373
2021-01-03,4364,3735,198,179
2021-01-04,1096,17506,727,478
2021-01-05,2966,19549,487,66
2021-01-06,6111,13869,805,121
2021-01-07,5610,3679,215,118
2021-01-08,8118,3506,295,373
2021-01-09,4151,13175,401,191
