from_district,to_district,distance_km,avg_speed_kmh
Mumbai,Pune,150,60
Mumbai,Delhi,1400,70
Mumbai,Bangalore,980,65
Pune,Mumbai,150,60
Pune,Bangalore,850,65
Delhi,Mumbai,1400,70
Delhi,Kolkata,1500,70
Delhi,Jaipur,280,75
Bangalore,Mumbai,980,65
Bangalore,Chennai,350,70
Bangalore,Hyderabad,570,70
Chennai,Bangalore,350,70
Chennai,Hyderabad,630,70
Kolkata,Delhi,1500,70
Kolkata,Patna,580,65
Hyderabad,Bangalore,570,70
Hyderabad,Chennai,630,70
Jaipur,Delhi,280,75
Patna,Kolkata,580,65
Ahmedabad,Mumbai,530,70
Ahmedabad,Jaipur,650,70
Surat,Mumbai,280,70
Surat,Ahmedabad,265,70
