source,target,distance_km,capacity_trucks,risk_factor
0,2,14.17,13,0.10090941850192858
0,4,17.52,19,0.4776812595436046
0,5,6.11,10,0.43715055476611286
0,7,18.74,19,0.25263210690818816
0,8,17.47,10,0.06807644542771729
0,9,14.96,15,0.13662734166954538
1,9,19.53,6,0.2749259864251264
1,10,15.08,19,0.37135974833914887
2,4,12.15,7,0.38500962808966377
2,5,12.97,14,0.14722600476209058
2,8,5.79,9,0.461360294521956
2,9,13.39,11,0.11363889120004905
2,10,3.21,6,0.06608212470276698
2,11,13.9,16,0.4375495625079581
3,4,21.11,10,0.4819644930973419
3,5,14.52,18,0.22225691014932458
4,9,4.06,11,0.3802015705289527
4,10,13.63,5,0.14878562305554954
4,11,25.13,12,0.4317753155028388
5,11,9.43,13,0.1314209368805893
6,7,14.15,19,0.12170525207069255
6,8,9.57,12,0.45293087393050807
7,9,15.14,19,0.010837375819528261
7,10,2.21,10,0.30890768979008415
8,10,6.05,5,0.057005836931448894
8,11,19.69,8,0.06543169678498328
