source,target,distance_km,failure_probability
Mumbai,Nagpur,291.07193888235275,0.048852933041112656
Mumbai,Aurangabad,220.26357837623425,0.09619057051841555
Mumbai,Thane,101.67073614557518,0.15546174229570606
Mumbai,Solapur,263.79092294015686,0.049660969171701555
Pune,Nagpur,105.62441190550638,0.10221894694542863
Pune,Nashik,153.6419038962774,0.01034472323643601
Pune,Aurangabad,113.334647070265,0.04483695870429002
Pune,Solapur,126.89257027845325,0.17494892428642864
Pune,Amravati,104.2248271038525,0.07707530561524747
Nagpur,Nashik,101.67147279769998,0.06835704422253593
Nagpur,Aurangabad,266.8376461173958,0.08448032271162542
Nashik,Aurangabad,252.01292940695265,0.16168754971154506
Nashik,Thane,170.93460651636627,0.16670957443491452
Nashik,Solapur,92.34128453467237,0.16154716770408142
Nashik,Amravati,234.58665832679864,0.18326307692962002
Aurangabad,Solapur,162.13798343962065,0.10234516741763293
Aurangabad,Amravati,61.21156478603311,0.11705758507662081
Thane,Solapur,184.92522211323714,0.13913314329706708
Solapur,Amravati,107.16352770329158,0.11249005604637986
